Measurer_Initials,Site_Code,Sex,Nose-To-Wing-Tip-(mm),%IP-5KM
AM,C34,M,22,17
AM,C34,M,22,17
AM,C34,M,21,17
AM,C34,M,20,17
AM,C34,M,20,17
AM,C34,M,21,17
AM,C34,F,25,17
AM,C34,M,21,17
AM,C34,M,22,17
AM,C34,M,21,17
AM,C34,M,22,17
AM,C34,M,22,17
AM,C34,M,22,17
AM,C34,M,22,17
AM,C34,M,21,17
AM,C34,M,21,17
AM,C34,M,21,17
AM,C34,M,22,17
AM,C34,M,22,17
AM,C34,M,21,17
AM,C34,M,21,17
AM,C34,M,20,17
AM,C34,M,21,17
AM,C34,M,21,17
AM,C34,M,20,17
RM,C34,M,21,17
RM,C34,M,20,17
RM,C34,M,21,17
RM,C34,F,26,17
RM,C34,F,28,17
RM,C34,M,20,17
RM,C34,F,26,17
RM,C34,M,23,17
RM,C34,M,21,17
RM,C34,F,26,17
RM,C34,M,22,17
RM,C34,F,24,17
RM,C34,M,20,17
RM,C34,M,22,17
RM,C34,F,26,17
RM,C34,M,23,17
RN,C34,F,25,17
RM,C34,F,26,17
RM,C34,F,24,17
RM,C34,F,26,17
RM,C34,F,25,17
RM,C34,M,22,17
RM,C34,M,23,17
RM,C34,F,25,17
RM,C34,F,25,17
RM,C34,F,23,17
RM,C34,F,25,17
RM,C34,M,20,17
RM,C34,M,21,17
RM,C34,F,24,17
RM,C34,M,21,17
RM,C34,F,25,17
RM,C34,M,22,17
RM,C34,M,21,17
RM,C34,M,20,17
RM,C34,M,20,17
RM,C34,F,24,17
RM,C34,F,25,17
RM,C34,F,25,17
RM,C34,M,20,17
RM,C34,M,21,17
RM,C34,M,22,17
RM,C34,M,22,17
RM,C34,M,22,17
RM,C34,F,25,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,F,24,17
RM,C34,M,22,17
RM,C34,F,25,17
RM,C34,M,22,17
RM,C34,M,20,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,M,22,17
RM,C34,M,21,17
RM,C34,F,26,17
RM,C34,M,22,17
RM,C34,M,22,17
RM,C34,F,24,17
RM,C34,M,20,17
RM,C34,F,25,17
RM,C34,M,21,17
RM,C34,F,23,17
RM,C34,M,22,17
RM,C34,M,22,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,F,26,17
RM,C34,F,26,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,M,19,17
RM,C34,M,21,17
RM,C34,F,26,17
RM,C34,M,20,17
RM,C34,M,21,17
RM,C34,M,22,17
RM,C34,F,26,17
RM,C34,M,20,17
RM,C34,M,22,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,F,25,17
RM,C34,M,22,17
RM,C34,F,26,17
RM,C34,M,22,17
RM,C34,M,21,17
RM,C34,M,21,17
RM,C34,F,24,17
RM,C34,F,25,17
RM,C34,M,22,17
RM,C34,M,22,17
RM,C34,F,24,17
RM,C34,M,19,17
RM,C34,F,24,17
RM,C34,F,24,17
RM,C34,F,26,17
RM,C34,F,26,17
RM,C34,M,21,17
RM,C34,M,20,17
RM,C34,M,21,17
RM,C34,M,22,17
RM,C34,M,23,17
AM,C35,F,25,60
AM,C35,F,25,60
AM,C35,F,26,60
AM,C35,F,25,60
AM,C35,F,26,60
AM,C35,F,25,60
AM,C35,F,24,60
AM,C35,F,25,60
AP,C36,F,28,40
AP,C36,F,26,40
AP,C36,F,27,40
AP,C36,M,21,40
AP,C36,F,24,40
AP,C36,M,21,40
AP,C36,F,25,40
AP,C36,M,21,40
AP,C36,M,19,40
AP,C36,M,22,40
AP,C36,F,25,40
AP,C36,F,25,40
AP,C36,F,25,40
AP,C36,F,25,40
AP,C36,F,24,40
AP,C36,M,21,40
AP,C36,M,21,40
AP,C36,F,25,40
AP,C36,F,22,40
AM,C37,F,24,25
AM,C37,F,24,25
AM,C37,F,24,25
AM,C37,F,26,25
AM,C37,F,25,25
AM,C37,F,26,25
AM,C37,M,21,25
AM,C37,M,22,25
AM,C37,M,20,25
AM,C37,F,24,25
AM,C37,F,24,25
AM,C37,F,25,25
AM,C37,F,26,25
AM,C37,F,25,25
AM,C37,F,26,25
AM,C37,M,22,25
AM,C37,F,25,25
AM,C37,F,25,25
AM,C37,F,26,25
AM,C37,F,26,25
AM,C37,M,20,25
AM,C37,M,21,25
AM,C37,M,21,25
AM,C37,M,22,25
AM,C37,F,27,25
AM,C37,M,23,25
AM,C37,M,21,25
AM,C37,F,26,25
AM,C37,M,22,25
AM,C37,M,21,25
AM,C37,M,20,25
AM,C37,M,21,25
AM,C37,M,21,25
AM,C37,M,21,25
AM,C37,F,25,25
AM,C37,M,21,25
RM,C38,F,26,16
RM,C38,F,26,16
RM,C38,F,25,16
RM,C38,F,25,16
RM,C38,F,25,16
RM,C38,M,21,16
RM,C38,F,24,16
RM,C38,F,25,16
RM,C38,F,26,16
RM,C38,F,24,16
RM,C38,F,25,16
RM,C38,M,23,16
RM,C38,F,24,16
RM,C38,M,21,16
RM,C38,F,26,16
RM,C38,F,27,16
RM,C38,F,25,16
RM,C38,M,20,16
RM,C38,F,25,16
RM,C38,F,26,16
RM,C38,F,27,16
RM,C38,F,24,16
RM,C38,M,20,16
RM,C38,M,21,16
RM,C38,M,20,16
RM,C38,M,21,16
RM,C38,M,23,16
RM,C38,M,21,16
RM,C38,F,26,16
RM,C38,F,26,16
RM,C38,F,25,16
RM,C38,F,26,16
RM,C38,M,21,16
RM,C38,F,25,16
RM,C38,F,24,16
RM,C38,F,21,16
RM,C38,M,22,16
RM,C38,M,21,16
RM,C38,F,24,16
RM,C38,F,27,16
RM,C38,M,22,16
RM,C38,M,21,16
RM,C39,M,23,7
AP,C4,F,26,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,24,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,26,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,27,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,25,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,28,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,27,62
AP,C4,F,24,62
AP,C4,F,26,62
AP,C4,F,23,62
AP,C4,F,25,62
AP,C4,F,25,62
AP,C4,F,24,62
AP,C4,F,24,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,26,62
AP,C4,F,25,62
AP,C4,F,24,62
AP,C4,F,26,62
AP,C4,F,25,62
AP,C40,F,25,11
AP,C40,F,26,11
AP,C40,F,26,11
AP,C40,F,23,11
AP,C40,F,27,11
AP,C40,M,21,11
AP,C40,M,22,11
AP,C40,F,23,11
AP,C40,M,18,11
AP,C40,F,25,11
AP,C40,F,26,11
AP,C40,F,27,11
AP,C40,F,26,11
AP,C40,F,23,11
AP,C40,F,25,11
AP,C40,F,26,11
AP,C40,F,26,11
AP,C40,F,26,11
AP,C40,M,21,11
AP,C40,M,21,11
AP,C40,F,25,11
AP,C40,F,25,11
AP,C40,F,26,11
AP,C40,F,26,11
AP,C40,F,26,11
AP,C40,M,22,11
AP,C40,M,21,11
AP,C40,M,20,11
AP,C41,F,27,46
AP,C41,F,27,46
AP,C41,M,21,46
AP,C41,F,27,46
AP,C41,M,21,46
AP,C41,M,22,46
RM,C42,F,25,7
RM,C42,F,27,7
RM,C42,F,28,7
RM,C42,M,20,7
RM,C42,F,26,7
RM,C42,F,26,7
RM,C42,F,26,7
RM,C42,F,26,7
RM,C42,F,24,7
RM,C42,F,24,7
RM,C42,F,24,7
RM,C42,F,24,7
RM,C42,M,22,7
RM,C42,F,25,7
RM,C42,F,26,7
RM,C42,M,22,7
RM,C42,F,23,7
RM,C42,F,24,7
RM,C42,M,20,7
RM,C42,F,23,7
RM,C42,M,21,7
RM,C42,F,26,7
RM,C42,F,24,7
RM,C42,F,24,7
RM,C42,F,25,7
RM,C42,F,25,7
RM,C42,F,26,7
RM,C42,F,24,7
RM,C42,F,26,7
RM,C42,F,25,7
RM,C42,F,24,7
RM,C42,M,21,7
RM,C42,M,21,7
RM,C42,M,22,7
RM,C42,M,21,7
RM,C42,F,26,7
RM,C42,M,21,7
AM,C5,F,26,62
AM,C5,F,26,62
AM,C5,M,22,62
AM,C5,M,21,62
AM,C5,M,22,62
AM,C5,F,26,62
AM,C5,F,25,62
AM,C5,M,20,62
AM,C5,F,25,62
AM,C5,M,21,62
AM,C5,M,20,62
AM,C5,F,26,62
AM,C5,F,26,62
AM,C5,M,21,62
AM,C5,M,22,62
AM,C5,M,21,62
AM,C5,M,21,62
AM,C5,M,22,62
AM,C5,F,26,62
AM,C5,F,27,62
AM,C5,M,21,62
AM,C5,M,20,62
AM,C5,M,21,62
AM,C5,M,22,62
AM,C5,M,22,62
AM,C5,M,20,62
AM,C5,M,21,62
AM,C5,M,22,62
AM,C5,M,21,62
AM,C5,F,27,62
AM,C5,M,22,62
AM,C5,M,22,62
AM,C5,M,22,62
AM,C5,F,24,62
AM,C5,M,22,62
AM,C5,M,20,62
AM,C5,M,22,62
AM,C5,M,22,62
AM,C5,M,21,62
AM,C5,M,20,62
AM,C5,M,19,62
AM,C5,M,19,62
AM,C5,M,21,62
AM,C5,M,23,62
AM,C5,M,20,62
AM,C5,M,23,62
AP,C6,F,25,61
AP,C6,F,26,61
AP,C6,M,21,61
AP,C6,M,22,61
AP,C6,F,24,61
AP,C6,M,21,61
AP,C6,M,21,61
AP,C6,M,22,61
AP,C6,M,20,61
AP,C6,M,20,61
AP,C6,M,21,61
AP,C6,M,22,61
AP,C6,F,25,61
AP,C6,M,21,61
AP,C6,M,22,61
AP,C6,M,21,61
AP,C6,M,20,61
AP,C6,M,21,61
AP,C6,M,20,61
AP,C6,M,22,61
AP,C6,F,25,61
AP,C6,F,25,61
AP,C6,F,25,61
AP,C6,F,25,61
AP,C6,F,26,61
AP,C6,M,22,61
AP,C6,M,21,61
AP,C6,F,27,61
AP,C6,F,26,61
AP,C6,M,21,61
AP,C6,M,21,61
AP,C6,M,22,61
AP,C6,M,20,61
AP,C6,F,25,61
AP,C6,F,23,61
AP,C6,M,20,61
AM,C7,F,26,61
AM,C7,F,26,61
AM,C7,F,24,61
AM,C7,M,21,61
AM,C7,M,22,61
AM,C7,M,22,61
AM,C7,F,27,61
AM,C7,F,26,61
AM,C7,F,27,61
AM,C7,M,20,61
AM,C7,M,20,61
AM,C7,M,22,61
AM,C7,M,21,61
AM,C7,F,25,61
AM,C7,F,25,61
AM,C7,M,20,61
AM,C7,M,22,61
AM,C7,M,20,61
AM,C7,M,20,61
AP,C8,M,22,61
AP,C8,F,27,61
AP,C8,M,20,61
AP,C8,M,22,61
AP,C8,M,22,61
AP,C8,M,20,61
AP,C8,M,20,61
AP,C8,F,24,61
AP,C8,F,25,61
AP,C8,M,21,61
AM,C9,F,24,39
AM,C9,M,21,39
AM,C9,M,21,39
AP,D1,F,24,59
AP,D1,F,26,59
AP,D1,F,27,59
AP,D1,M,22,59
AP,D1,M,21,59
AP,D1,M,21,59
AP,D1,M,20,59
AP,D1,F,24,59
RM,D11,F,26,23
RM,D12,F,23,21
RM,D12,F,26,21
RM,D12,F,25,21
RM,D13,F,27,21
RM,D14,M,21,13
RM,D14,F,23,13
RM,D15,M,22,20
RM,D16,M,22,19
AP,D2,M,22,43
AP,D2,M,20,43
AP,D2,F,24,43
AP,D2,F,25,43
AP,D2,F,26,43
AP,D2,M,22,43
AP,D2,M,18,43
AP,D2,M,21,43
AM,D3,M,21,29
AM,D3,M,20,29
AM,D3,F,25,29
RM,D4,F,28,45
RM,D5,M,24,30
RM,D5,M,21,30
RM,D5,M,24,30
RM,D5,M,21,30
RM,D5,M,21,30
RM,D5,M,21,30
RM,D5,M,23,30
AM,D5,M,21,30
AM,D5,M,21,30
AM,D5,M,22,30
AM,D5,M,21,30
AM,D5,M,20,30
AM,D5,M,21,30
AM,D5,M,22,30
AM,D5,M,22,30
AM,D5,F,23,30
AM,D5,M,22,30
AM,D5,M,22,30
AM,D5,M,21,30
AM,D5,M,20,30
AM,D5,M,20,30
AM,D5,F,28,30
AM,D5,M,20,30
AM,D5,M,21,30
RM,D5,F,27,30
RM,D5,F,25,30
RM,D7,M,19,42
RM,E1,F,26,65
RM,E1,F,26,65
RM,E1,F,27,65
RM,E1,F,27,65
RM,E1,M,22,65
RM,E1,F,27,65
RM,E1,F,26,65
RM,E1,F,25,65
RM,E1,F,26,65
RM,E1,F,26,65
RM,E1,F,29,65
RM,E1,F,27,65
RM,E1,M,20,65
RM,E1,F,26,65
RM,E1,F,27,65
RM,E1,M,22,65
RM,E1,M,24,65
RM,E1,F,27,65
RM,E1,F,26,65
RM,E1,M,22,65
RM,E1,M,22,65
RM,E1,F,26,65
RM,E1,M,22,65
RM,E1,F,27,65
RM,E1,F,26,65
RM,E1,M,23,65
RM,E1,F,25,65
RM,E1,M,24,65
RM,E1,F,25,65
RM,E1,M,22,65
AP,E1,F,28,65
AP,E1,F,26,65
AP,E1,F,26,65
AP,E1,M,22,65
AP,E1,M,23,65
AP,E1,M,22,65
AP,E1,M,19,65
AP,E1,F,27,65
AP,E1,F,25,65
AP,E1,F,24,65
AP,E1,M,20,65
AP,E1,M,21,65
AP,E1,M,22,65
AP,E1,F,26,65
AP,E1,F,24,65
AP,E1,M,23,65
AP,E1,M,21,65
AP,E1,M,21,65
AP,E1,M,22,65
AP,E1,F,24,65
AP,E1,F,26,65
AP,E1,F,24,65
AP,E1,M,22,65
AP,E1,F,27,65
AP,E1,F,26,65
AP,E1,F,25,65
AP,E1,F,27,65
AP,E1,F,27,65
AP,E1,M,21,65
AP,E1,M,20,65
AP,E1,F,26,65
AP,E1,M,21,65
AP,E1,M,22,65
AP,E1,M,21,65
AP,E1,F,25,65
AP,E1,M,22,65
RM,E11,M,20,60
RM,E11,F,25,60
RM,E11,F,25,60
RM,E11,F,26,60
RM,E11,F,25,60
RM,E11,F,23,60
RM,E11,M,20,60
RM,E11,F,27,60
RM,E11,F,26,60
RM,E11,M,23,60
RM,E11,F,25,60
RM,E11,M,21,60
RM,E11,F,24,60
AM,E11,M,22,60
AM,E11,M,21,60
AP,E11,F,22,60
AM,E11,F,28,60
AP,E11,M,21,60
AM,E11,F,27,60
AP,E11,F,27,60
AM,E11,M,21,60
AP,E11,M,19,60
AM,E11,M,20,60
AP,E11,F,25,60
AM,E11,F,25,60
AP,E11,M,21,60
AM,E11,M,22,60
AP,E11,M,21,60
AP,E11,F,25,60
AM,E11,M,23,60
AP,E11,F,25,60
AM,E11,F,27,60
AP,E11,F,23,60
AM,E11,M,22,60
AP,E11,M,20,60
AM,E11,F,26,60
AP,E11,F,24,60
AM,E11,F,27,60
AP,E11,M,20,60
AM,E11,F,27,60
AP,E11,M,21,60
AM,E11,F,24,60
AP,E11,F,28,60
AM,E11,F,24,60
RM,E13,F,27,62
RM,E13,F,26,62
RM,E13,M,23,62
RM,E13,M,21,62
RM,E13,M,21,62
RM,E13,F,26,62
AP,E13,F,25,62
AP,E13,F,25,62
AP,E13,F,25,62
AP,E13,F,25,62
AP,E13,M,21,62
AP,E13,M,21,62
AP,E13,F,25,62
AP,E13,M,20,62
AP,E13,M,22,62
AP,E13,M,21,62
AP,E13,M,19,62
AP,E13,F,26,62
AP,E13,M,22,62
AP,E13,F,24,62
AP,E2,F,27,61
AP,E2,F,26,61
AP,E2,M,22,61
AP,E2,F,26,61
AP,E2,F,26,61
AP,E2,M,22,61
AP,E2,M,23,61
AP,E2,M,21,61
RM,E3,F,26,61
RM,E3,F,23,61
